0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NTEAIT_1,NTEAIT_2,PATH_M_STAGE_1,ACBD7,ACSS3,ALS2CR11,MGC16703,NUDT9P1,RNF126P1,TAS1R1,TTLL13,ZNF334,ASPDH,C21orf29,ST7L,ACTN2,FAM24B,GPR111,GUSBL2,PSMA5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
